user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,1.175,2.379.811,2025.4,110.001,22.634,27.085,1.944,1.480,4.365
dan980,1.465,1.142.684,780.0,14.208,71.725,1.439,1.743,20.729,938
Pab09,1.478,725.808,491.1,99.474,7.029,534,563,222,452
italia-import,226,695.554,3077.7,641,3,0,6,0,0
Michele Aquilani,1.226,556.926,454.3,70.282,9.152,605,1.591,24,1.381
fayor,852,547.172,642.2,21.440,48.308,915,1.393,915,1.320
Gianfranco2014,887,482.172,543.6,30.136,13.735,3.411,394,1.701,1.217
Ale_Zena_IT-import,138,426.280,3089.0,10,23,0,2,0,0
Alecs01,1.003,409.653,408.4,47.921,18.000,6.155,6.215,376,7.117
Max1234-ITA,921,333.942,362.6,9.112,7.232,7.233,287,256,2.927
Andrea Musuruane import,96,310.404,3233.4,35.783,1.240,3,305,1,60
aldoct,2.696,300.521,111.5,2.421,21.266,755,425,2.193,882
carths81,3.678,279.138,75.9,491,10.713,3.997,306,349,4.800
IlBano,788,258.977,328.7,21.698,11.773,583,562,13.214,312
Dino Michelini,1.138,248.737,218.6,7.828,10.522,1.417,599,1.366,961
Ale_Zena_IT,1.187,240.165,202.3,4.155,14.211,152,1.543,662,170
fedc,2.146,231.374,107.8,3.968,17.007,6.911,1.009,405,687
user_4775566,134,216.285,1614.1,7,66,5.513,4,9,5.374
corfede,1.545,210.640,136.3,4.774,17.344,3.258,1.283,201,805
padvinder,673,206.493,306.8,7.976,2.850,5.505,43,63,503
PMJx,533,193.532,363.1,1.110,13.129,2.412,767,147,7.423
Francoerbi41,963,172.232,178.8,560,1.364,763,181,9.186,412
gpstracks,345,169.013,489.9,250,2.055,358,121,261,514
demon_box,7.727,156.568,20.3,5.366,22.593,1.926,4.013,2.770,3.182
Jrachi,789,155.690,197.3,636,5.023,67,75,61,205
achim becker,1.628,154.147,94.7,2.957,4.037,3.505,525,1.001,4.896
poschon,342,149.910,438.3,273,4.841,29,303,28,39
Veneto_Civici_Import,66,143.840,2179.4,1,1.099,0,14,0,0
pikappa79,501,141.592,282.6,2.462,2.086,1.630,414,844,2.522
openpablo3,1.995,141.577,71.0,6.775,2.183,1.788,320,1.282,1.800
morsi,947,133.392,140.9,6.268,3.569,823,653,386,196
ProvinciaBiella_import,52,119.865,2305.1,11.081,2.137,20,189,8,41
vancori,1.582,119.008,75.2,972,5.739,167,461,330,410
LvdT,631,118.341,187.5,2.224,6.202,1.623,524,800,365
mbranco2_OSMimport,45,117.397,2608.8,12.914,1.988,34,127,13,15
sorcrosc,1.148,114.897,100.1,1.592,10.216,564,339,47,216
mauromauromauro,157,113.419,722.4,2.338,13.265,81,2,194,6
frasty,666,103.666,155.7,917,10.104,362,503,291,99
lorenzo23622,765,98.399,128.6,921,3.563,4.533,257,1.213,442
Peter Klofutar,282,97.675,346.4,15,191,98,17,27,28
Lola Fox,1.221,92.990,76.2,184,1.152,1.307,65,478,1.615
WernerP,180,91.880,510.4,999,1.349,916,7,8,755
Marco_Fix,248,90.090,363.3,8.372,5.326,161,516,236,37
ninjamask,44,89.552,2035.3,254,396,223,22,3,1
dgitto,1.942,88.431,45.5,5.009,7.320,464,2.019,135,501
cxc,1.953,84.742,43.4,3.402,1.361,431,290,39,340
sbiribizio,460,80.597,175.2,2.597,5.267,408,1.072,249,1.888
Davide_sd,541,78.277,144.7,85,12.877,1.736,100,6,11
beastdominator,654,76.384,116.8,207,1.175,35,2,4,402
simone_girardelli,1.789,75.269,42.1,906,8.453,142,496,462,252
Michi_,274,74.563,272.1,8,369,0,2,0,0
CatenaDiVoltri,296,74.026,250.1,1.347,2.000,3.599,10,102,1.285
jackthebest,3.139,73.964,23.6,2.455,7.310,610,903,206,851
Honet_,78,71.737,919.7,9.937,681,1.071,80,3,68
MaxDragonheart,56,71.122,1270.0,1.952,82,360,25,5,0
nuvolabianca,331,71.067,214.7,2.297,2.562,1.691,575,482,1.372
josil,111,70.637,636.4,758,1.509,2.250,73,66,951
fkamm,232,69.566,299.9,67,207,4.075,25,6,303
arcanma,486,69.363,142.7,1.011,7.653,396,445,240,118
Pedisa,406,69.073,170.1,5.508,2.306,115,282,81,29
LuSirto,1.280,69.069,54.0,756,5.026,634,716,622,653
andgas54,116,68.863,593.6,49,116,2.660,6,12,45
kkklllppp,629,67.618,107.5,4.923,7.549,245,857,17,101
maurizioa,613,66.189,108.0,455,4.824,2.008,616,172,3.079
procuste,280,62.713,224.0,2.530,7.273,1.057,1.002,514,203
Francesco Tili,479,61.647,128.7,3.274,2.960,1.876,360,151,653
makakko,201,60.914,303.1,3.483,2.143,79,118,279,12
Lorenzo O,107,60.910,569.3,86,450,2.436,96,53,22
ToeBeeFixit,8,60.881,7610.1,0,0,0,0,0,0
PaoloRE1981,1.883,60.148,31.9,726,4.513,2.160,515,1.297,7.270
ddm-dolomitico,320,58.958,184.2,27,836,237,8,504,1.358
Mattia P,85,58.233,685.1,3,147,174,5,12,319
francoLI,1.426,58.051,40.7,73,316,831,29,19,957
voschix,1.041,57.477,55.2,610,12.160,212,424,311,76
Martj9,1.395,57.310,41.1,2.570,11.221,342,389,97,1.028
Fredie,19,57.304,3016.0,608,1.789,1.353,82,726,1.895
Arlas,60,57.034,950.6,3.520,4.548,114,402,89,200
Aury88,496,56.067,113.0,1.633,1.700,1.101,490,300,4.315
Cascafico,1.148,55.587,48.4,1.564,2.925,94,301,210,383
mau59,357,54.890,153.8,445,3.998,41,81,7,6
castagnola,1.179,54.579,46.3,11,6.450,18,2,3,5
Karthoo,274,54.424,198.6,5.000,3.536,1.048,889,44,140
CUSPC,337,54.403,161.4,1.496,123,442,29,0,2
roys2728,305,54.140,177.5,6.202,787,159,115,10,39
Cristi4n,588,53.639,91.2,1.772,2.541,2.070,591,70,3.641
softcake,1.037,53.479,51.6,110,4.687,418,30,85,38
Lupo1983,332,52.237,157.3,19,2.449,3,0,36,6
adirricor,244,52.169,213.8,2.285,5.227,378,444,13,520
Gh0stz0x,846,51.982,61.4,3.488,1.131,82,519,242,873
Andrea Musuruane,872,51.290,58.8,1.195,3.454,104,688,21,38
Sembola,265,50.572,190.8,544,3.978,189,25,62,33
kaitu,620,50.052,80.7,5.137,2.198,84,543,213,132
Freiheit28,645,48.881,75.8,1.060,703,469,55,3,809
AlfredoSP,1.600,48.612,30.4,10,14.966,8,7,6,14
dieterdreist,744,47.485,63.8,2.458,3.086,837,787,91,228
select,1.962,46.302,23.6,1.464,4.700,91,771,26,896
maxiclimb,208,43.160,207.5,2.412,1.452,10,84,90,30
samlian,238,42.504,178.6,5.437,43,316,23,2,337
bvivi,3.435,40.739,11.9,570,8.589,67,85,434,42
